ANZSCOUnit,ANZSCOUnitCode,essential_v_non
"Crane, Hoist and Lift Operators",7121,0
"Drillers, Miners and Shot Firers",7122,0
Engineering Production Workers,7123,0
Other Stationary Plant Operators,7129,1
Mobile Plant Operators,7210,0
"Agricultural, Forestry and Horticultural Plant Operators",7211,1
Earthmoving Plant Operators,7212,0
Forklift Drivers,7213,0
Other Mobile Plant Operators,7219,0
Road and Rail Drivers,7300,1
"Automobile, Bus and Rail Drivers",7310,1
Automobile Drivers,7311,1
Bus and Coach Drivers,7312,1
Train and Tram Drivers,7313,1
Delivery Drivers,7321,1
Truck Drivers,7331,1
Storepersons,7411,1
Labourers,8000,0
Cleaners and Laundry Workers,8110,0
Car Detailers,8111,0
Commercial Cleaners,8112,1
Domestic Cleaners,8113,0
Housekeepers,8114,0
Laundry Workers,8115,0
Other Cleaners,8116,1
Construction and Mining Labourers,8210,0
Building and Plumbing Labourers,8211,0
Concreters,8212,0
Fencers,8213,0
Insulation and Home Improvement Installers,8214,0
Paving and Surfacing Labourers,8215,0
Railway Track Workers,8216,1
Structural Steel Construction Workers,8217,0
Other Construction and Mining Labourers,8219,0
Factory Process Workers,8300,0
Food Process Workers,8310,1
Food and Drink Factory Workers,8311,1
"Meat Boners and Slicers, and Slaughterers",8312,0
"Meat, Poultry and Seafood Process Workers",8313,0
Packers and Product Assemblers,8320,1
Packers,8321,1
Product Assemblers,8322,0
Miscellaneous Factory Process Workers,8390,0
Metal Engineering Process Workers,8391,0
Plastics and Rubber Factory Workers,8392,0
Product Quality Controllers,8393,0
Timber and Wood Process Workers,8394,0
Other Factory Process Workers,8399,0
"Farm, Forestry and Garden Workers",8410,1
Aquaculture Workers,8411,1
Crop Farm Workers,8412,1
Forestry and Logging Workers,8413,0
Garden and Nursery Labourers,8414,1
Livestock Farm Workers,8415,1
Mixed Crop and Livestock Farm Workers,8416,1
"Other Farm, Forestry and Garden Workers",8419,1
Food Preparation Assistants,8510,1
Fast Food Cooks,8511,0
Food Trades Assistants,8512,1
Kitchenhands,8513,1
Other Labourers,8900,0
Freight Handlers and Shelf Fillers,8910,0
